Latitude,Longitude,Depth_km,Magnitude,Cluster
55.731,-155.972,44.8,3.1,1
37.2569,-117.2738,6.2306,2.5,1
-9.5362,113.7626,43.886,4.3,3
49.3395,156.1103,59.872,4.5,2
37.764833333333,-121.94183333333,7.5,2.53,1
-13.5455,-76.9197,10.0,4.5,3
59.362,-151.641,47.2,2.5,1
60.6107,-140.1422,5.0,2.6,1
49.6174,155.5281,50.359,4.6,2
60.069,-152.196,94.4,2.7,1
13.6258,-88.4988,189.415,4.4,3
37.7812,72.0809,133.289,4.3,2
59.615,-153.585,123.2,2.6,1
54.3799,-160.4885,5.0,3.0,1
-20.3133,-178.4532,609.395,4.4,0
-23.9394,-179.8439,532.881,4.2,0
60.399,-139.522,0.2,2.5,1
-20.3451,-177.7382,540.196,4.5,0
59.657,-150.258,26.4,2.5,1
50.1857,156.7908,53.295,4.3,2
-20.2519,-178.5925,628.026,4.6,0
51.5513,-176.2425,33.859,3.5,1
18.0925,-68.2255,77.0,4.26,3
-59.7567,-26.8249,37.676,5.1,3
53.0356,160.8122,35.0,4.3,2
60.6578,-139.9672,5.0,4.2,1
60.5192,-140.0559,5.0,3.0,1
60.591,-139.961,11.3,2.9,1
50.2445,155.5733,128.202,4.2,2
-8.9834,-79.039,58.0,6.2,3
-0.1295,99.9834,10.0,4.6,3
-0.0886,100.1054,10.0,4.6,3
60.4632,-139.8086,5.0,2.7,1
61.625,-150.458,48.1,2.5,1
60.375,-147.774,17.7,2.5,1
53.6504,-162.8302,10.0,3.0,1
64.77,-149.21,2.1,2.7,1
57.472,-156.284,10.0,2.5,1
20.007833333333,-156.789,29.58,2.53,1
-15.3445,167.4272,108.995,4.4,3
51.7746,178.341,124.965,3.5,2
35.7405,88.5284,10.0,4.3,2
22.7421,121.2113,34.246,3.8,2
29.6946,142.2399,10.0,4.4,2
18.8,-68.5425,42.0,3.53,1
-20.9109,-178.572,590.807,4.8,0
51.5937,-175.1974,45.284,4.0,1
53.0417,171.9684,38.08,4.3,2
-17.4676,-178.8382,550.038,4.1,0
13.2781,145.1362,59.489,4.1,2
43.5766,-105.3669,0.0,3.0,1
44.115,-105.4224,0.0,3.3,1
12.0869,-88.1032,42.077,4.4,3
-50.2489,130.0473,10.0,4.5,3
-9.0626,124.0975,94.912,4.0,3
36.9448,71.253,194.25,4.2,2
60.5527,-140.0328,5.0,2.6,1
15.3857,120.1378,64.159,4.9,2
60.467,-150.855,49.8,2.9,1
-5.835,147.0606,136.791,4.2,3
29.6473,142.1455,22.472,4.9,2
19.058666666667,-155.3795,34.58,2.87,1
24.5928,122.0668,62.593,4.3,2
60.3897,-139.7134,5.0,2.9,1
-20.1916,-177.6091,514.705,4.4,0
-21.2467,-68.7683,116.57,4.0,3
19.145333333333,-155.5105,35.71,3.26,1
39.1606,-119.0474,5.0,3.65,1
24.6841,122.0354,63.0,6.6,2
34.376666666667,-118.6245,11.95,2.5,1
59.685,-153.131,108.1,2.5,1
